Cell content;;;;;;;;;
SAMPLE I.D;BT003NCO_1;BT003NCO_2;BT003NCO_3;BT003NCO_4;BT003NCO_5;BT003NCO_6;BT003NCO_7;BT003NCO_8;BT003NCO_10
Sample Day;0;6,83;12,9;19,8;25,9;33,9;40,88;47,81;62.88
% CARBOHYDRATE;10,2;3,43;2,6;1,39;4,74;3,6;4,21;4,98;13,31
% PROTEIN;40,55;47,29;43,16;41,67;40,59;38,94;38,65;36,98;41,37
% OIL;14,89;25,4;25,24;22,59;24,07;22,97;24,29;24,16;22,08
EPA % DM;0,86;1,81;2,35;2,04;2,13;1,89;2,18;2,15;1,75
EPA % FA;13,52;15,63;18,55;18,71;17,89;16,56;18,42;18,07;17,32
Total saturated %;32,09;34,55;33,73;33,84;35,99;38,39;36,68;37,98;34,75
Total saturated mg. 100g-1 ;2056,03;4001,18;4281,26;3703,79;4297,13;4403,12;4360,18;4517,78;3525,34
Total monounsaturated % total fatty acids;45,59;38,48;35,26;34,05;33,5;31,34;31,57;31,82;34,86
Total monounsaturated mg. 100g-1;2921,06;4457,14;4474,96;3726,37;3999,72;3594,21;3752,67;3785,94;3536,13
Total n-6 PUFA % total fatty acids;8,32;10,78;11,6;12,48;11,75;12,95;12,58;11,49;11,93
Total n-6 PUFA mg. 100g-1;533,24;1248,22;1472,87;1365,64;1402,81;1485,22;1495,09;1366,82;1210,38
Total n-3 PUFA % total fatty acids;13,81;16;19,21;19,41;18,56;17,12;18,99;18,62;18,38
Total n-3 PUFA mg. 100g-1;884,95;1853,56;2438,23;2124,38;2215,3;1963,5;2257,13;2215,29;1864,24
Total PUFA % total fatty acids;22,32;26,97;31,01;32,11;30,5;30,27;31,75;30,2;30,39
Total PUFA mg. 100g-1;1430,48;3123,27;3936,58;3514,93;3641,55;3472,21;3774,34;3592,5;3082,41
Total FA % DM;6,4;11,5;12,6;10,9;11,9;11,4;11,8;11,8;10,1
;;;;;;;;;
Mineral in the medium;;;;;;;;;
SAMPLE I.D;BT002NCO_14;BT002NCO_15;BT002NCO_16;BT002NCO_17;BT002NCO_18;BT002NCO_19;BT002NCO_20;BT002NCO_13;BT002NCO_21
Sample Day;0;6,83;12,9;19,8;25,9;33,9;40,88;47,81;62.89
Sodium;10324,71;8270,41;7685,54;6193,47;8126,26;6386,6;6879,26;7086,88;7341,44
Magnesium;1156,93;901,56;813,93;679,89;853,29;693,72;711,65;701,89;738,91
Phosphorus;14,64;8,48;7,39;20,06;8,3;8,22;15;11,38;19,43
Potassium;38,73;32,79;31,5;50,73;40,09;35,36;42,89;46,11;63,62
Calcium;33,55;36,33;28,11;24,53;29,67;34,5;35,4;51,75;27,41
Mangan;0,17;0,32;0,27;0,25;0,27;0,35;0,43;0,43;0,44
Iron;1,77;3,14;3,22;3,16;3,52;4,19;5,22;4,38;5,67
Copper;0,01;0,03;0,19;0,02;0,03;<LOQ;0,16;0,05;0,17
Zinc;<LOQ;<LOQ;<LOQ;<LOQ;<LOQ;<LOQ;0,85;0,27;0,17
Arsenic;<LOQ;<LOQ;<LOQ;<LOQ;<LOQ;<LOQ;<LOQ;<LOQ;<LOQ
Lead;<LOQ;0,22;<LOQ;<LOQ;<LOQ;<LOQ;0,03;0,16;0,2
