Cell content;;;;;;;;;;;;;;;;;
SAMPLE I.D;Sample Day;% CARBOHYDRATE;% PROTEIN;% OIL;EPA % DM;EPA % FA;Total saturated %;mg. 100g-1 ;Total monounsaturated % total fatty acids ;Total monounsaturated mg. 100g-1 ;Total n-6 PUFA % total fatty acids ;Total n-6 PUFA mg. 100g-1 ;Total n-3 PUFA % total fatty acids ;Total n-3 PUFA mg. 100g-1 ;Total PUFA % total fatty acids ;Total PUFA mg. 100g-1 ;Total FA % DM
BT003NCO_1;0;10,2;40,55;14,89;0,86;13,52;32,09;2056,03;45,59;2921,06;8,32;533,24;13,81;884,95;22,32;1430,48;6,4
BT003NCO_2;6,83;3,43;47,29;25,4;1,81;15,63;34,55;4001,18;38,48;4457,14;10,78;1248,22;16;1853,56;26,97;3123,27;11,5
BT003NCO_3;12,9;2,6;43,16;25,24;2,35;18,55;33,73;4281,26;35,26;4474,96;11,6;1472,87;19,21;2438,23;31,01;3936,58;12,6
BT003NCO_4;19,8;1,39;41,67;22,59;2,04;18,71;33,84;3703,79;34,05;3726,37;12,48;1365,64;19,41;2124,38;32,11;3514,93;10,9
BT003NCO_5;25,9;4,74;40,59;24,07;2,13;17,89;35,99;4297,13;33,5;3999,72;11,75;1402,81;18,56;2215,3;30,5;3641,55;11,9
BT003NCO_6;33,9;3,6;38,94;22,97;1,89;16,56;38,39;4403,12;31,34;3594,21;12,95;1485,22;17,12;1963,5;30,27;3472,21;11,4
BT003NCO_7;40,88;4,21;38,65;24,29;2,18;18,42;36,68;4360,18;31,57;3752,67;12,58;1495,09;18,99;2257,13;31,75;3774,34;11,8
BT003NCO_8;47,81;4,98;36,98;24,16;2,15;18,07;37,98;4517,78;31,82;3785,94;11,49;1366,82;18,62;2215,29;30,2;3592,5;11,8
BT003NCO_10;62.88;13,31;41,37;22,08;1,75;17,32;34,75;3525,34;34,86;3536,13;11,93;1210,38;18,38;1864,24;30,39;3082,41;10,1
;;;;;;;;;;;;;;;;;
Mineral in the medium;;;;;;;;;;;;;;;;;
SAMPLE I.D;Sample Day;Sodium;Magnesium;Phosphorus;Potassium;Calcium;Mangan;Iron;Copper;Zinc;Arsenic;Lead;;;;;
BT002NCO_14;0;10324,71;1156,93;14,64;38,73;33,55;0,17;1,77;0,01;<LOQ;<LOQ;<LOQ;;;;;
BT002NCO_15;6,83;8270,41;901,56;8,48;32,79;36,33;0,32;3,14;0,03;<LOQ;<LOQ;0,22;;;;;
BT002NCO_16;12,9;7685,54;813,93;7,39;31,5;28,11;0,27;3,22;0,19;<LOQ;<LOQ;<LOQ;;;;;
BT002NCO_17;19,8;6193,47;679,89;20,06;50,73;24,53;0,25;3,16;0,02;<LOQ;<LOQ;<LOQ;;;;;
BT002NCO_18;25,9;8126,26;853,29;8,3;40,09;29,67;0,27;3,52;0,03;<LOQ;<LOQ;<LOQ;;;;;
BT002NCO_19;33,9;6386,6;693,72;8,22;35,36;34,5;0,35;4,19;<LOQ;<LOQ;<LOQ;<LOQ;;;;;
BT002NCO_20;40,88;6879,26;711,65;15;42,89;35,4;0,43;5,22;0,16;0,85;<LOQ;0,03;;;;;
BT002NCO_13;47,81;7086,88;701,89;11,38;46,11;51,75;0,43;4,38;0,05;0,27;<LOQ;0,16;;;;;
BT002NCO_21;62.89;7341,44;738,91;19,43;63,62;27,41;0,44;5,67;0,17;0,17;<LOQ;0,2;;;;;
